season,week,team,implied_team_total
2024,7,ARI,22.5
2024,8,LA,25.25
2024,8,CIN,22.5
2024,8,CLE,26.0
2024,8,DET,16.25
2024,8,HOU,20.0
2024,8,JAX,26.25
2024,8,MIA,21.25
2024,8,NE,24.0
2024,8,TB,24.25
2024,8,LAC,17.25
2024,8,SEA,24.25
2024,8,DEN,13.75
2024,8,LV,25.5
2024,8,WAS,22.5
2024,8,SF,21.25
2024,8,PIT,15.75
2024,9,NYJ,20.5
2024,9,ATL,24.5
2024,9,BAL,18.75
2024,9,BUF,21.25
2024,9,CAR,25.25
2024,9,CIN,18.5
2024,9,CLE,22.25
2024,9,NYG,24.5
2024,9,TEN,17.75
2024,9,ARI,21.5
2024,9,PHI,19.25
2024,9,GB,25.0
2024,9,SEA,25.0
2024,9,MIN,20.25
2024,9,KC,18.25
2024,10,BAL,23.5
2024,10,CAR,23.5
2024,10,CHI,15.5
2024,10,IND,25.5
2024,10,JAX,24.75
2024,10,KC,17.5
2024,10,NO,25.0
2024,10,TB,28.5
2024,10,WAS,21.75
2024,10,LAC,16.0
2024,10,ARI,23.75
2024,10,DAL,26.0
2024,10,HOU,26.75
2024,10,LA,23.5
2024,11,PHI,22.5
2024,11,CHI,23.5
2024,11,DET,16.75
2024,11,MIA,17.75
2024,11,NE,23.25
2024,11,NO,22.5
2024,11,NYJ,19.5
2024,11,PIT,25.5
2024,11,TEN,23.0
2024,11,DEN,21.25
2024,11,SF,21.5
2024,11,BUF,22.0
2024,11,LAC,23.5
2024,11,DAL,24.5
2024,12,CLE,20.0
2024,12,CAR,27.0
2024,12,CHI,21.25
2024,12,HOU,16.25
2024,12,IND,28.75
2024,12,MIA,19.25
2024,12,NYG,23.5
2024,12,WAS,17.25
2024,12,LV,24.0
2024,12,GB,19.0
2024,12,SEA,23.75
2024,12,LA,26.0
2024,12,LAC,27.0
2024,13,DET,19.0
2024,13,DAL,17.25
2024,13,GB,22.0
2024,13,KC,14.25
2024,13,ATL,24.0
2024,13,CIN,21.5
2024,13,JAX,24.0
2024,13,MIN,21.0
2024,13,NE,22.0
2024,13,NYJ,20.25
2024,13,WAS,19.5
2024,13,CAR,26.25
2024,13,NO,25.5
2024,13,BAL,23.5
2024,13,BUF,19.25
2024,13,DEN,17.5
2024,14,DET,25.0
2024,14,MIA,19.25
2024,14,MIN,20.25
2024,14,NYG,23.25
2024,14,PHI,15.25
2024,14,PIT,18.5
2024,14,TB,20.0
2024,14,TEN,18.5
2024,14,ARI,21.25
2024,14,LA,26.5
2024,14,SF,20.25
2024,14,KC,19.25
2024,14,DAL,28.0
2024,15,SF,22.75
2024,15,CAR,19.75
2024,15,CLE,23.0
2024,15,HOU,22.0
2024,15,JAX,22.5
2024,15,NO,26.0
2024,15,NYG,30.0
2024,15,TEN,26.25
2024,15,ARI,20.25
2024,15,DEN,19.5
2024,15,DET,26.5
2024,15,LAC,21.5
2024,15,PHI,18.75
2024,15,SEA,25.5
2024,15,MIN,18.25
2024,15,LV,25.5
2024,16,LAC,19.25
2024,16,KC,19.5
2024,16,BAL,18.75
2024,16,ATL,16.5
2024,16,CAR,26.25
2024,16,CHI,27.25
2024,16,CIN,18.25
2024,16,IND,19.25
2024,16,NYJ,25.0
2024,16,WAS,25.5
2024,16,SEA,22.75
2024,16,BUF,17.0
2024,16,LV,19.5
2024,16,MIA,23.0
2024,16,DAL,26.0
2024,16,GB,15.0
2024,17,PIT,23.25
