season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2016,59916,Oregon,Duke,1,4,82,68,Oregon,Duke,1,4,0
2016,59917,Virginia,Iowa State,1,4,84,71,Virginia,Iowa State,1,4,0
2016,59918,Notre Dame,Wisconsin,6,7,61,56,Notre Dame,Wisconsin,6,7,0
2016,59919,Syracuse,Gonzaga,10,11,63,60,Syracuse,Gonzaga,10,11,0
2016,59920,North Carolina,Indiana,1,5,101,86,North Carolina,Indiana,1,5,0
2016,59921,Oregon,Oklahoma,1,2,68,80,Oregon,Oklahoma,1,2,1
2016,59922,Kansas,Villanova,1,2,59,64,Kansas,Villanova,1,2,1
2016,59925,Virginia,Syracuse,1,10,62,68,Virginia,Syracuse,1,10,1
2016,59926,North Carolina,Notre Dame,1,6,88,74,North Carolina,Notre Dame,1,6,0
2016,59942,North Carolina,Syracuse,1,10,83,66,North Carolina,Syracuse,1,10,0
2016,59943,North Carolina,Villanova,1,2,74,77,North Carolina,Villanova,1,2,1
2017,53854,Notre Dame,Princeton,5,12,60,58,Notre Dame,Princeton,5,12,0
2017,53855,Virginia,UNC Wilmington,5,12,76,71,Virginia,UNC Wilmington,5,12,0
2017,53856,Butler,Winthrop,4,13,76,64,Butler,Winthrop,4,13,0
2017,53857,Gonzaga,South Dakota State,1,16,66,46,Gonzaga,South Dakota State,1,16,0
2017,53858,West Virginia,Bucknell,4,13,86,80,West Virginia,Bucknell,4,13,0
2017,53859,Florida,East Tennessee State,4,13,80,65,Florida,East Tennessee State,4,13,0
2017,53860,Minnesota,Middle Tennessee,5,12,72,81,Minnesota,Middle Tennessee,5,12,1
2017,53861,Northwestern,Vanderbilt,8,9,68,66,Northwestern,Vanderbilt,8,9,0
2017,53862,Maryland,Xavier,6,11,65,76,Maryland,Xavier,6,11,1
2017,53863,Villanova,Mount St. Mary's,1,16,76,56,Villanova,Mount St. Mary's,1,16,0
2017,53864,Saint Mary's,VCU,7,10,85,77,Saint Mary's,VCU,7,10,0
2017,53865,Purdue,Vermont,4,13,80,70,Purdue,Vermont,4,13,0
2017,53866,Florida State,Florida Gulf Coast,3,14,86,80,Florida State,Florida Gulf Coast,3,14,0
2017,53867,Wisconsin,Virginia Tech,8,9,84,74,Wisconsin,Virginia Tech,8,9,0
2017,53868,Iowa State,Nevada,5,12,84,73,Iowa State,Nevada,5,12,0
2017,53869,Arizona,North Dakota,2,15,100,82,Arizona,North Dakota,2,15,0
2017,53870,Michigan,Oklahoma State,7,10,92,91,Michigan,Oklahoma State,7,10,0
2017,53871,Baylor,New Mexico State,3,14,91,73,Baylor,New Mexico State,3,14,0
2017,53872,Arkansas,Seton Hall,8,9,77,71,Arkansas,Seton Hall,8,9,0
2017,53873,Oregon,Iona,3,14,93,77,Oregon,Iona,3,14,0
2017,53874,Louisville,Jacksonville State,2,15,78,63,Louisville,Jacksonville State,2,15,0
2017,53875,SMU,USC,6,11,65,66,SMU,USC,6,11,1
2017,53876,North Carolina,Texas Southern,1,16,103,64,North Carolina,Texas Southern,1,16,0
2017,53877,Creighton,Rhode Island,6,11,72,84,Creighton,Rhode Island,6,11,1
2017,53878,Kansas,UC Davis,1,16,100,62,Kansas,UC Davis,1,16,0
2017,53879,Dayton,Wichita State,7,10,58,64,Dayton,Wichita State,7,10,1
2017,53880,Duke,Troy,2,15,87,65,Duke,Troy,2,15,0
2017,53881,Cincinnati,Kansas State,6,11,75,61,Cincinnati,Kansas State,6,11,0
2017,53882,Miami,Michigan State,8,9,58,78,Miami,Michigan State,8,9,1
2017,53883,South Carolina,Marquette,7,10,93,73,South Carolina,Marquette,7,10,0
2017,53884,Kentucky,Northern Kentucky,2,15,79,70,Kentucky,Northern Kentucky,2,15,0
2017,53885,UCLA,Kent State,3,14,97,80,UCLA,Kent State,3,14,0
2017,53887,West Virginia,Notre Dame,4,5,83,71,West Virginia,Notre Dame,4,5,0
2017,53888,Villanova,Wisconsin,1,8,62,65,Villanova,Wisconsin,1,8,1
2017,53889,Gonzaga,Northwestern,1,8,79,73,Gonzaga,Northwestern,1,8,0
2017,53890,Florida State,Xavier,3,11,66,91,Florida State,Xavier,3,11,1
2017,53891,Butler,Middle Tennessee,4,12,74,65,Butler,Middle Tennessee,4,12,0
2017,53892,Arizona,Saint Mary's,2,7,69,60,Arizona,Saint Mary's,2,7,0
2017,53893,Florida,Virginia,4,5,65,39,Florida,Virginia,4,5,0
2017,53894,Purdue,Iowa State,4,5,80,76,Purdue,Iowa State,4,5,0
2017,53896,Louisville,Michigan,2,7,69,73,Louisville,Michigan,2,7,1
2017,53897,Kentucky,Wichita State,2,10,65,62,Kentucky,Wichita State,2,10,0
2017,53898,Kansas,Michigan State,1,9,90,70,Kansas,Michigan State,1,9,0
2017,53899,North Carolina,Arkansas,1,8,72,65,North Carolina,Arkansas,1,8,0
2017,53900,Oregon,Rhode Island,3,11,75,72,Oregon,Rhode Island,3,11,0
2017,53901,Baylor,USC,3,11,82,78,Baylor,USC,3,11,0
2017,53902,Duke,South Carolina,2,7,81,88,Duke,South Carolina,2,7,1
2017,53903,UCLA,Cincinnati,3,6,79,67,UCLA,Cincinnati,3,6,0
2017,53925,Oregon,Michigan,3,7,69,68,Oregon,Michigan,3,7,0
2017,53926,Gonzaga,West Virginia,1,4,61,58,Gonzaga,West Virginia,1,4,0
2017,53927,Kansas,Purdue,1,4,98,66,Kansas,Purdue,1,4,0
2017,53928,Arizona,Xavier,2,11,71,73,Arizona,Xavier,2,11,1
