season,team,total_minutes,returning_minutes,continuity_pct
2016,Nicholls,6875,5141,0.7477818181818182
2016,Norfolk State,6850,3919,0.5721167883211679
2016,North Carolina A&T,6526,5339,0.8181121667177444
2016,North Carolina Central,6225,4005,0.6433734939759036
2016,North Carolina,7995,7662,0.9583489681050656
2016,North Dakota,6698,2880,0.42997909823828007
2016,North Dakota State,6625,4875,0.7358490566037735
2016,North Florida,6800,6800,1.0
2016,North Texas,6425,1678,0.2611673151750973
2016,Northeastern,6825,5546,0.8126007326007326
2016,Northern Arizona,6125,3229,0.5271836734693878
2016,Northern Colorado,6200,3206,0.5170967741935484
2016,Northern Illinois,6850,4127,0.6024817518248176
2016,Northern Iowa,7275,7154,0.9833676975945017
2016,Northern Kentucky,6050,4403,0.7277685950413223
2016,Northwestern State,5600,4071,0.7269642857142857
2016,Northwestern,6525,4949,0.7584674329501916
2016,Notre Dame,7225,6304,0.8725259515570934
2016,Oakland,7025,4875,0.693950177935943
2016,Ohio,7050,5159,0.73177304964539
2016,Ohio State,7100,4561,0.6423943661971832
2016,Oklahoma,7476,6836,0.9143927233814875
2016,Oklahoma State,6475,5269,0.8137451737451737
2016,Old Dominion,7650,6169,0.8064052287581699
2016,Ole Miss,6450,3984,0.6176744186046511
2016,Omaha,6475,4764,0.7357528957528957
2016,Oral Roberts,6225,3815,0.61285140562249
2016,Oregon,7625,5179,0.6792131147540984
2016,Oregon State,6400,3737,0.58390625
2016,Pacific,5700,4378,0.7680701754385965
2016,Penn State,6450,5511,0.8544186046511628
2016,Pennsylvania,5650,3834,0.6785840707964602
2016,Pepperdine,6500,5671,0.8724615384615385
2016,Pittsburgh,6651,5055,0.7600360847992783
2016,Portland,6425,4464,0.6947859922178988
2016,Portland State,6200,2479,0.39983870967741936
2016,Prairie View A&M,6200,3815,0.6153225806451613
2016,Presbyterian,6225,5114,0.8215261044176707
2016,Princeton,5875,4685,0.7974468085106383
2016,Providence,7075,6065,0.8572438162544169
2016,Purdue,7075,5078,0.7177385159010601
2016,Purdue Fort Wayne,6850,5415,0.7905109489051095
2016,Quinnipiac,5875,3471,0.5908085106382979
2016,Radford,6350,4840,0.7622047244094489
2016,Rhode Island,6475,3570,0.5513513513513514
2016,Rice,6225,3454,0.554859437751004
2016,Richmond,6475,6163,0.9518146718146718
2016,Rider,6700,6057,0.9040298507462686
